Vertex: node:126468, Triagle Count: 45
Vertex: node:71986, Triagle Count: 7
Vertex: node:125005, Triagle Count: 20
Vertex: node:58649, Triagle Count: 66
Vertex: node:115672, Triagle Count: 123
Vertex: node:119370, Triagle Count: 3
Vertex: node:64668, Triagle Count: 1
Vertex: node:44278, Triagle Count: 307
Vertex: node:19395, Triagle Count: 5
Vertex: node:14232, Triagle Count: 42
Vertex: node:14365, Triagle Count: 45
Vertex: node:24972, Triagle Count: 63
Vertex: node:83827, Triagle Count: 15
Vertex: node:114473, Triagle Count: 15
Vertex: node:21372, Triagle Count: 3
Vertex: node:69661, Triagle Count: 13
Vertex: node:64401, Triagle Count: 3
Vertex: node:62004, Triagle Count: 36
Vertex: node:64667, Triagle Count: 1
Vertex: node:20040, Triagle Count: 3
Vertex: node:50282, Triagle Count: 1
Vertex: node:118040, Triagle Count: 6
Vertex: node:112912, Triagle Count: 103
Vertex: node:114474, Triagle Count: 1
Vertex: node:47872, Triagle Count: 11
Vertex: node:118173, Triagle Count: 13
Vertex: node:42843, Triagle Count: 4
Vertex: node:15695, Triagle Count: 426
Vertex: node:45344, Triagle Count: 6
Vertex: node:13034, Triagle Count: 2
Vertex: node:73280, Triagle Count: 1
Vertex: node:64666, Triagle Count: 15
Vertex: node:87656, Triagle Count: 3
Vertex: node:22440, Triagle Count: 2
Vertex: node:113277, Triagle Count: 112
Vertex: node:14101, Triagle Count: 47
Vertex: node:110648, Triagle Count: 33
Vertex: node:229, Triagle Count: 442
Vertex: node:118170, Triagle Count: 869
Vertex: node:39447, Triagle Count: 6
Vertex: node:132219, Triagle Count: 3
Vertex: node:70781, Triagle Count: 9
Vertex: node:21374, Triagle Count: 10
Vertex: node:64669, Triagle Count: 6
Vertex: node:64403, Triagle Count: 1
Vertex: node:44011, Triagle Count: 29
Vertex: node:60708, Triagle Count: 6
Vertex: node:46672, Triagle Count: 3
Vertex: node:132217, Triagle Count: 50
Vertex: node:14233, Triagle Count: 10
Vertex: node:91152, Triagle Count: 1
Vertex: node:132218, Triagle Count: 3
Vertex: node:13169, Triagle Count: 7
Vertex: node:71982, Triagle Count: 73
Vertex: node:9048, Triagle Count: 6
Vertex: node:119374, Triagle Count: 3
Vertex: node:70784, Triagle Count: 1
Vertex: node:111711, Triagle Count: 154
Vertex: node:22313, Triagle Count: 23
Vertex: node:24843, Triagle Count: 45
Vertex: node:19391, Triagle Count: 3
Vertex: node:117811, Triagle Count: 40
Vertex: node:52682, Triagle Count: 630
Vertex: node:67135, Triagle Count: 1
Vertex: node:59719, Triagle Count: 78
Vertex: node:64796, Triagle Count: 6
Vertex: node:4029, Triagle Count: 10
Vertex: node:34417, Triagle Count: 25
Vertex: node:16896, Triagle Count: 222
Vertex: node:22314, Triagle Count: 28
Vertex: node:24842, Triagle Count: 28
Vertex: node:50286, Triagle Count: 10
Vertex: node:43078, Triagle Count: 4
Vertex: node:42714, Triagle Count: 6
Vertex: node:4028, Triagle Count: 16
Vertex: node:112075, Triagle Count: 21
Vertex: node:88720, Triagle Count: 7
Vertex: node:115670, Triagle Count: 9
Vertex: node:14105, Triagle Count: 1
Vertex: node:36815, Triagle Count: 10
Vertex: node:119372, Triagle Count: 3
Vertex: node:16893, Triagle Count: 1
Vertex: node:50283, Triagle Count: 21
Vertex: node:24841, Triagle Count: 26
Vertex: node:59716, Triagle Count: 1
Vertex: node:114471, Triagle Count: 506
Vertex: node:59717, Triagle Count: 3
Vertex: node:120482, Triagle Count: 144
Vertex: node:27470, Triagle Count: 390
Vertex: node:15436, Triagle Count: 1
Vertex: node:15569, Triagle Count: 10
Vertex: node:357, Triagle Count: 34
Vertex: node:13039, Triagle Count: 120
Vertex: node:118174, Triagle Count: 45
Vertex: node:36814, Triagle Count: 390
Vertex: node:37179, Triagle Count: 363
Vertex: node:64665, Triagle Count: 10
Vertex: node:62002, Triagle Count: 21
Vertex: node:37046, Triagle Count: 1
Vertex: node:70652, Triagle Count: 4
Vertex: node:119373, Triagle Count: 10
Vertex: node:94887, Triagle Count: 1
Vertex: node:14104, Triagle Count: 63
Vertex: node:27471, Triagle Count: 105
Vertex: node:22578, Triagle Count: 95
Vertex: node:24973, Triagle Count: 1
Vertex: node:65838, Triagle Count: 1
Vertex: node:67134, Triagle Count: 2
Vertex: node:114472, Triagle Count: 6
Vertex: node:15568, Triagle Count: 400
Vertex: node:110644, Triagle Count: 53
Vertex: node:358, Triagle Count: 3
Vertex: node:15435, Triagle Count: 193
Vertex: node:93689, Triagle Count: 1
Vertex: node:88984, Triagle Count: 1
Vertex: node:42716, Triagle Count: 1
Vertex: node:37045, Triagle Count: 7
Vertex: node:112073, Triagle Count: 28
Vertex: node:121550, Triagle Count: 59
Vertex: node:79379, Triagle Count: 9
Vertex: node:77816, Triagle Count: 18
Vertex: node:16891, Triagle Count: 27
Vertex: node:29607, Triagle Count: 55
Vertex: node:50289, Triagle Count: 3
Vertex: node:109685, Triagle Count: 2
Vertex: node:101192, Triagle Count: 9
Vertex: node:82887, Triagle Count: 28
Vertex: node:42719, Triagle Count: 17
Vertex: node:82754, Triagle Count: 1
Vertex: node:67139, Triagle Count: 1
Vertex: node:76618, Triagle Count: 3
Vertex: node:108486, Triagle Count: 6
Vertex: node:3927, Triagle Count: 1
Vertex: node:92357, Triagle Count: 3
Vertex: node:51489, Triagle Count: 99
Vertex: node:29606, Triagle Count: 543
Vertex: node:46416, Triagle Count: 15
Vertex: node:107023, Triagle Count: 83
Vertex: node:16892, Triagle Count: 3
Vertex: node:4024, Triagle Count: 624
Vertex: node:109551, Triagle Count: 210
Vertex: node:62130, Triagle Count: 52
Vertex: node:64791, Triagle Count: 21
Vertex: node:3926, Triagle Count: 21
Vertex: node:68469, Triagle Count: 73
Vertex: node:81557, Triagle Count: 7
Vertex: node:100962, Triagle Count: 16
Vertex: node:38374, Triagle Count: 139
Vertex: node:55180, Triagle Count: 15
Vertex: node:46415, Triagle Count: 181
Vertex: node:121552, Triagle Count: 23
Vertex: node:82623, Triagle Count: 3
Vertex: node:124181, Triagle Count: 82
Vertex: node:353, Triagle Count: 10
Vertex: node:84185, Triagle Count: 3
Vertex: node:122883, Triagle Count: 48
Vertex: node:108488, Triagle Count: 36
Vertex: node:125380, Triagle Count: 8
Vertex: node:38375, Triagle Count: 153
Vertex: node:107025, Triagle Count: 3
Vertex: node:44019, Triagle Count: 4
Vertex: node:109686, Triagle Count: 351
Vertex: node:109420, Triagle Count: 761
Vertex: node:80358, Triagle Count: 35
Vertex: node:69400, Triagle Count: 10
Vertex: node:64793, Triagle Count: 34
Vertex: node:62398, Triagle Count: 70
Vertex: node:105725, Triagle Count: 36
Vertex: node:13161, Triagle Count: 138
Vertex: node:115543, Triagle Count: 1234
Vertex: node:75419, Triagle Count: 6
Vertex: node:51359, Triagle Count: 1
Vertex: node:61193, Triagle Count: 1
Vertex: node:113013, Triagle Count: 42
Vertex: node:107159, Triagle Count: 12
Vertex: node:107026, Triagle Count: 3
Vertex: node:55182, Triagle Count: 9
Vertex: node:2856, Triagle Count: 66
Vertex: node:82758, Triagle Count: 1
Vertex: node:116874, Triagle Count: 12
Vertex: node:4154, Triagle Count: 3
Vertex: node:39578, Triagle Count: 1
Vertex: node:115675, Triagle Count: 30
Vertex: node:75418, Triagle Count: 1
Vertex: node:11866, Triagle Count: 110
Vertex: node:20177, Triagle Count: 53
Vertex: node:121553, Triagle Count: 45
Vertex: node:109688, Triagle Count: 3
Vertex: node:55050, Triagle Count: 25
Vertex: node:11867, Triagle Count: 10
Vertex: node:39446, Triagle Count: 4
Vertex: node:352, Triagle Count: 20
Vertex: node:122751, Triagle Count: 88
Vertex: node:56381, Triagle Count: 4
Vertex: node:83825, Triagle Count: 8
Vertex: node:107028, Triagle Count: 435
Vertex: node:112916, Triagle Count: 66
Vertex: node:61195, Triagle Count: 72
Vertex: node:14363, Triagle Count: 66
Vertex: node:115678, Triagle Count: 10
Vertex: node:110519, Triagle Count: 44
Vertex: node:14230, Triagle Count: 59
Vertex: node:2859, Triagle Count: 3
Vertex: node:76616, Triagle Count: 5
Vertex: node:76749, Triagle Count: 136
Vertex: node:39443, Triagle Count: 7
Vertex: node:45345, Triagle Count: 21
Vertex: node:116876, Triagle Count: 10
Vertex: node:5480, Triagle Count: 6
Vertex: node:13031, Triagle Count: 16
Vertex: node:51358, Triagle Count: 239
Vertex: node:22570, Triagle Count: 1
Vertex: node:60962, Triagle Count: 15
Vertex: node:61196, Triagle Count: 3
Vertex: node:38379, Triagle Count: 28
Vertex: node:14362, Triagle Count: 1
Vertex: node:83959, Triagle Count: 1
Vertex: node:123951, Triagle Count: 1163
Vertex: node:116742, Triagle Count: 21
Vertex: node:39577, Triagle Count: 260
Vertex: node:122753, Triagle Count: 136
Vertex: node:104401, Triagle Count: 6
Vertex: node:29732, Triagle Count: 358
Vertex: node:59851, Triagle Count: 3
Vertex: node:59984, Triagle Count: 1
Vertex: node:79371, Triagle Count: 1
Vertex: node:104667, Triagle Count: 9
Vertex: node:2852, Triagle Count: 1
Vertex: node:4283, Triagle Count: 3
Vertex: node:104400, Triagle Count: 24
Vertex: node:75547, Triagle Count: 3
Vertex: node:33351, Triagle Count: 612
Vertex: node:29997, Triagle Count: 15
Vertex: node:126587, Triagle Count: 16
Vertex: node:55054, Triagle Count: 10
Vertex: node:4282, Triagle Count: 3
Vertex: node:2720, Triagle Count: 4
Vertex: node:101199, Triagle Count: 198
Vertex: node:101066, Triagle Count: 48
Vertex: node:131272, Triagle Count: 91
Vertex: node:122755, Triagle Count: 9
Vertex: node:105997, Triagle Count: 601
Vertex: node:3087, Triagle Count: 11
Vertex: node:75546, Triagle Count: 1
Vertex: node:102135, Triagle Count: 3
Vertex: node:31088, Triagle Count: 81
Vertex: node:124056, Triagle Count: 15
Vertex: node:97249, Triagle Count: 6
Vertex: node:101903, Triagle Count: 2
Vertex: node:80496, Triagle Count: 15
Vertex: node:97115, Triagle Count: 2
Vertex: node:103466, Triagle Count: 3
Vertex: node:58650, Triagle Count: 55
Vertex: node:107161, Triagle Count: 2
Vertex: node:32020, Triagle Count: 701
Vertex: node:28535, Triagle Count: 34
Vertex: node:123956, Triagle Count: 1
Vertex: node:28402, Triagle Count: 45
Vertex: node:78174, Triagle Count: 19
Vertex: node:51229, Triagle Count: 13
Vertex: node:47609, Triagle Count: 1
Vertex: node:71717, Triagle Count: 6
Vertex: node:25906, Triagle Count: 28
Vertex: node:35881, Triagle Count: 838
Vertex: node:128851, Triagle Count: 30
